Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality
12.04,0.94,12.29,25.05,20.47,Yes,Yes,Introvert
9.07,1.81,14.34,34.99,16.81,Yes,No,Introvert
14.51,1.93,10.2,23.34,16.81,Yes,Yes,Extrovert
18.38,0.94,10.29,30.77,15.64,Yes,Yes,Introvert
10.12,1.43,12.31,38.09,16.61,Yes,Yes,Introvert
18.11,1.41,9.1,22.92,18.31,No,Yes,Extrovert
17.09,0.08,14.64,38.45,21.6,Yes,Yes,Introvert
15.95,1.72,11.01,33.56,20.71,No,Yes,Extrovert
13.52,1.56,13.2,21.0,17.09,Yes,Yes,Introvert
18.15,0.19,9.74,29.44,18.52,Yes,Yes,Introvert
8.0,1.14,11.97,20.95,23.08,Yes,Yes,Introvert
10.12,1.26,10.53,23.43,22.86,No,Yes,Introvert
16.65,0.63,12.61,20.63,22.89,Yes,No,Introvert
17.83,0.06,9.28,25.06,20.62,Yes,Yes,Introvert
19.17,1.88,12.18,25.71,15.88,Yes,Yes,Introvert
15.15,1.02,11.05,25.58,24.45,No,No,Introvert
18.44,0.47,10.22,36.49,22.01,Yes,Yes,Introvert
19.46,1.69,9.77,27.27,18.85,No,No,Extrovert
13.89,1.5,10.46,27.93,19.51,Yes,Yes,Introvert
11.11,1.22,12.4,30.76,21.3,Yes,Yes,Extrovert
18.87,0.01,8.54,28.38,16.89,Yes,Yes,Introvert
14.01,1.44,13.79,31.46,21.38,Yes,Yes,Extrovert
9.85,1.36,10.51,21.1,24.94,Yes,Yes,Introvert
17.56,0.99,12.96,37.99,19.92,No,Yes,Introvert
10.86,1.89,14.88,35.25,20.52,No,Yes,Extrovert
8.86,1.18,10.88,25.8,18.37,Yes,Yes,Introvert
12.58,0.63,12.02,39.2,20.58,Yes,Yes,Introvert
9.54,1.2,10.8,22.92,16.25,Yes,Yes,Extrovert
10.0,1.6,8.06,27.74,19.49,Yes,Yes,Introvert
10.15,0.84,12.16,20.62,15.96,Yes,Yes,Introvert
14.2,0.29,14.55,25.46,17.17,No,No,Introvert
14.42,1.04,8.81,39.77,21.35,No,Yes,Extrovert
13.04,1.18,13.11,30.3,22.99,Yes,Yes,Extrovert
13.67,1.39,11.17,31.06,20.42,Yes,Yes,Extrovert
16.2,0.53,8.87,29.34,20.05,Yes,Yes,Introvert
14.55,0.82,13.41,28.76,19.04,Yes,Yes,Introvert
14.71,0.95,13.03,25.69,22.78,Yes,Yes,Introvert
19.8,1.58,12.01,31.75,18.46,No,No,Introvert
12.2,0.06,11.96,36.7,17.28,Yes,Yes,Introvert
16.46,0.93,9.41,21.2,22.83,Yes,Yes,Introvert
8.31,1.07,11.54,31.03,22.92,Yes,Yes,Extrovert
14.15,0.55,9.68,30.92,15.51,Yes,Yes,Introvert
17.11,0.93,11.13,29.89,17.7,Yes,No,Introvert
11.05,0.17,9.17,38.7,18.96,Yes,Yes,Introvert
16.26,1.06,14.54,20.51,17.34,Yes,No,Extrovert
14.83,0.03,14.76,28.16,22.98,Yes,No,Introvert
19.88,1.25,11.13,36.06,24.84,Yes,Yes,Extrovert
18.37,0.58,13.57,20.29,22.42,Yes,No,Introvert
18.05,1.79,13.15,27.02,18.02,Yes,Yes,Extrovert
9.6,0.6,10.02,36.83,21.66,No,No,Extrovert
14.99,0.91,9.71,30.33,24.63,Yes,No,Introvert
16.23,1.49,8.45,29.97,16.71,Yes,No,Introvert
19.61,1.64,12.27,30.42,17.2,Yes,Yes,Extrovert
14.74,1.52,9.73,31.61,17.57,Yes,Yes,Extrovert
10.71,0.65,10.47,28.6,16.3,No,Yes,Introvert
8.05,0.31,9.78,28.79,17.3,Yes,Yes,Extrovert
11.31,0.38,10.9,27.77,19.22,Yes,No,Extrovert
9.22,0.73,9.5,25.66,17.65,Yes,No,Introvert
11.64,1.8,14.14,24.28,15.16,Yes,Yes,Extrovert
17.92,1.08,12.75,34.07,16.5,Yes,No,Introvert
12.03,0.86,8.43,20.68,15.97,Yes,Yes,Introvert
8.47,1.39,13.63,20.75,21.62,Yes,Yes,Introvert
15.53,0.12,11.99,22.66,17.19,No,Yes,Introvert
12.17,0.98,12.83,32.18,22.26,Yes,Yes,Introvert
15.03,1.75,14.37,30.36,23.89,No,Yes,Extrovert
8.26,0.36,14.52,22.48,16.05,Yes,Yes,Introvert
17.81,0.04,10.19,20.63,18.56,Yes,Yes,Introvert
13.05,1.44,8.28,34.88,20.81,Yes,No,Extrovert
8.25,1.1,14.96,28.39,20.52,Yes,No,Introvert
12.54,1.37,10.82,25.03,16.82,No,Yes,Introvert
15.04,0.16,11.57,38.72,24.62,Yes,Yes,Introvert
16.76,1.05,12.54,25.26,23.16,Yes,Yes,Introvert
11.65,0.78,14.24,36.23,22.56,No,Yes,Extrovert
13.91,1.05,10.07,38.9,21.84,No,Yes,Extrovert
12.44,0.28,13.17,24.22,19.33,Yes,Yes,Introvert
18.58,1.66,11.91,37.52,15.76,Yes,Yes,Introvert
12.83,0.48,11.58,32.94,19.72,Yes,Yes,Introvert
